,1,2,3,Standard Averaged Absorbance,Replicate 1,Replicate 2,Replicate 3,Unknown Averaged Absorbance,Unknown Averaged Absorbance Minus Blank,R Squared,Used Equation,Calculated Concentration μg/ μL,Dilution Factor Corrected Concentration μg/ μL (x4.0),Necessary to 5 μg (μl),Necessary to 10 μg (μl),Necessary to 15 μg (μl),Necessary to 20 μg (μl),Necessary to 25 μg (μl),Necessary to 30 μg (μl),Necessary to 35 μg (μl),Necessary to 40 μg (μl),Necessary to 45 μg (μl),Necessary to 50 μg (μl)
2.0,1.02,1.022,1.039,1.027,,,,,,,,,,,,,,,,,,,
1.5,0.837,0.837,0.802,0.825,,,,,,,,,,,,,,,,,,,
1.0,0.607,0.596,0.591,0.598,,,,,,,,,,,,,,,,,,,
0.75,0.498,0.486,0.492,0.492,,,,,,,,,,,,,,,,,,,
0.5,0.36,0.363,0.354,0.359,,,,,,,,,,,,,,,,,,,
0.25,0.243,0.241,0.245,0.243,,,,,,,,,,,,,,,,,,,
0.125,0.176,0.175,0.174,0.175,,,,,,,,,,,,,,,,,,,
0.025,0.115,0.115,0.114,0.115,,,,,,,,,,,,,,,,,,,
Sample1,,,,,0.4,0.404,0.41,0.405,0.287,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.342,1.367,3.658,7.315,10.973,14.631,18.288,21.946,25.604,29.261,32.919,36.576
Sample2,,,,,0.538,0.536,0.539,0.538,0.42,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,0.611,2.444,2.046,4.092,6.137,8.183,10.229,12.275,14.321,16.367,18.412,20.458
Sample3,,,,,1.017,1.0,1.0,1.006,0.888,0.9998,0.0050x^3 + -0.0517x^2 + 0.5449x + 0.1050,1.637,6.547,0.764,1.527,2.291,3.055,3.819,4.582,5.346,6.11,6.873,7.637
